PART,Category,Hostname,Component/Software,Details,Installed Version,Current Version,Vulnerable,CVE/Notes

PART A - HARDWARE,Hardware,Ubuntu,Hostname,Ubuntu,-,-,-,-
PART A - HARDWARE,Hardware,Ubuntu,IP Address,192.168.1.50,-,-,-,-
PART A - HARDWARE,Hardware,Ubuntu,MAC Address,00:50:56:9c:59:78,-,-,-,-
PART A - HARDWARE,Hardware,Ubuntu,CPU,Intel Xeon E5-2683 v3 @ 2.00GHz,-,-,YES,CVE-2018-3639 Spectre/Meltdown
PART A - HARDWARE,Hardware,Ubuntu,RAM,Unknown,-,-,-,-
PART A - HARDWARE,Hardware,Ubuntu,Disk,11G,-,-,-,-
PART A - HARDWARE,Hardware,Ubuntu,OS,Ubuntu 12.04.5 LTS,-,-,YES,EOL April 2017
PART A - HARDWARE,Hardware,Ubuntu,Kernel,3.13.0-32-generic,-,-,YES,Multiple kernel CVEs

PART A - HARDWARE,Hardware,Security-Onion,Hostname,Security-Onion,-,-,-,-
PART A - HARDWARE,Hardware,Security-Onion,IP Address,192.168.1.6,-,-,-,-
PART A - HARDWARE,Hardware,Security-Onion,MAC Address,00:50:56:82:fc:0e,-,-,-,-
PART A - HARDWARE,Hardware,Security-Onion,CPU,Intel Xeon E5-2683 v3 @ 2.00GHz,-,-,YES,CVE-2018-3639 Spectre/Meltdown
PART A - HARDWARE,Hardware,Security-Onion,RAM,3.9G,-,-,-,-
PART A - HARDWARE,Hardware,Security-Onion,Disk,16G,-,-,-,-
PART A - HARDWARE,Hardware,Security-Onion,OS,Ubuntu 14.04.5 LTS,-,-,YES,EOL April 2019
PART A - HARDWARE,Hardware,Security-Onion,Kernel,4.4.0-131-generic,-,-,-,-

PART A - HARDWARE,Hardware,bt (DVL),Hostname,bt,-,-,-,-
PART A - HARDWARE,Hardware,bt (DVL),IP Address,N/A,-,-,-,-
PART A - HARDWARE,Hardware,bt (DVL),MAC Address,00:50:56:9c:5d:ba,-,-,-,-
PART A - HARDWARE,Hardware,bt (DVL),CPU,Intel Xeon E5-2683 v3 @ 2.00GHz,-,-,YES,CVE-2018-3639 Spectre/Meltdown
PART A - HARDWARE,Hardware,bt (DVL),RAM,Unknown,-,-,-,-
PART A - HARDWARE,Hardware,bt (DVL),Disk,7.9G,-,-,-,-
PART A - HARDWARE,Hardware,bt (DVL),OS,Damn Vulnerable Linux,-,-,CRITICAL,Intentionally vulnerable - EOL
PART A - HARDWARE,Hardware,bt (DVL),Kernel,2.6.20-BT-PwnSauce-NOSMP,-,-,CRITICAL,2007 kernel - hundreds of CVEs

PART A - HARDWARE,Hardware,WIN12R2,Hostname,WIN12R2,-,-,-,-
PART A - HARDWARE,Hardware,WIN12R2,IP Address,10.1.1.12,-,-,-,-
PART A - HARDWARE,Hardware,WIN12R2,MAC Address,00-50-56-8A-0D-49,-,-,-,-
PART A - HARDWARE,Hardware,WIN12R2,CPU,Intel Xeon E5-2683 v3 @ 2.00GHz (x2),-,-,YES,CVE-2018-3639 Spectre/Meltdown
PART A - HARDWARE,Hardware,WIN12R2,RAM,3 GB,-,-,-,-
PART A - HARDWARE,Hardware,WIN12R2,Disk,40 GB,-,-,-,-
PART A - HARDWARE,Hardware,WIN12R2,OS,Windows Server 2012 R2 Standard,6.3.9600,-,CRITICAL,EOL October 2023
PART A - HARDWARE,Hardware,WIN12R2,Version,6.3.9600,-,-,-,-

PART A - HARDWARE,Hardware,WIN16,Hostname,WIN16,-,-,-,-
PART A - HARDWARE,Hardware,WIN16,IP Address,192.168.1.100,-,-,-,-
PART A - HARDWARE,Hardware,WIN16,MAC Address,00-50-56-82-56-8F,-,-,-,-
PART A - HARDWARE,Hardware,WIN16,CPU,Intel Xeon E5-2683 v3 @ 2.00GHz (x4),-,-,YES,CVE-2018-3639 Spectre/Meltdown
PART A - HARDWARE,Hardware,WIN16,RAM,3 GB,-,-,-,-
PART A - HARDWARE,Hardware,WIN16,Disk,40 GB,-,-,-,-
PART A - HARDWARE,Hardware,WIN16,OS,Windows Server 2016 Standard,10.0.14393,-,PARTIAL,Needs latest patches
PART A - HARDWARE,Hardware,WIN16,Version,10.0.14393,-,-,-,-

PART A - SOFTWARE LINUX,Software,Ubuntu,OpenSSH,Secure Shell Server,5.9p1,9.6p1,YES,CVE-2016-0777 CVE-2016-0778 roaming buffer overflow
PART A - SOFTWARE LINUX,Software,Ubuntu,OpenSSL,SSL/TLS Library,1.0.1,3.2.1,CRITICAL,CVE-2014-0160 Heartbleed
PART A - SOFTWARE LINUX,Software,Ubuntu,Bash,Shell,4.2.25,5.2.21,CRITICAL,CVE-2014-6271 Shellshock
PART A - SOFTWARE LINUX,Software,Ubuntu,Python,Programming Language,Not installed,3.12.x,N/A,-
PART A - SOFTWARE LINUX,Software,Ubuntu,Perl,Programming Language,v5.14,5.38.x,YES,Multiple CVEs in older versions
PART A - SOFTWARE LINUX,Software,Ubuntu,Apache,Web Server,2.2.22,2.4.58,YES,CVE-2017-15715 CVE-2021-44790
PART A - SOFTWARE LINUX,Software,Ubuntu,MySQL,Database,Not installed,8.0.36,N/A,-
PART A - SOFTWARE LINUX,Software,Ubuntu,PHP,Web Scripting,5.3.10,8.3.x,CRITICAL,CVE-2019-11043 multiple RCE
PART A - SOFTWARE LINUX,Software,Ubuntu,sudo,Privilege Escalation Tool,Unknown,1.9.15p5,LIKELY,CVE-2021-3156 Baron Samedit
PART A - SOFTWARE LINUX,Software,Ubuntu,cURL,Data Transfer,7.22.0,8.6.0,YES,CVE-2023-38545 buffer overflow

PART A - SOFTWARE LINUX,Software,Security-Onion,OpenSSH,Secure Shell Server,6.6.1p1,9.6p1,YES,CVE-2016-0777 CVE-2016-0778
PART A - SOFTWARE LINUX,Software,Security-Onion,OpenSSL,SSL/TLS Library,1.0.1f,3.2.1,CRITICAL,CVE-2014-0160 Heartbleed
PART A - SOFTWARE LINUX,Software,Security-Onion,Bash,Shell,4.3.11,5.2.21,YES,CVE-2014-6271 Shellshock - patched 4.3.25+
PART A - SOFTWARE LINUX,Software,Security-Onion,Python,Programming Language,3.4.3,3.12.x,YES,EOL - multiple vulnerabilities
PART A - SOFTWARE LINUX,Software,Security-Onion,Perl,Programming Language,v5.18,5.38.x,YES,Older version vulnerabilities
PART A - SOFTWARE LINUX,Software,Security-Onion,Apache,Web Server,2.4.7,2.4.58,YES,CVE-2021-44790 CVE-2021-41773
PART A - SOFTWARE LINUX,Software,Security-Onion,MySQL,Database,5.5.61,8.0.36,YES,CVE-2020-14812 multiple SQLi
PART A - SOFTWARE LINUX,Software,Security-Onion,PHP,Web Scripting,5.5.9,8.3.x,YES,EOL - CVE-2019-11043
PART A - SOFTWARE LINUX,Software,Security-Onion,sudo,Privilege Escalation Tool,1.8.9,1.9.15p5,CRITICAL,CVE-2021-3156 Baron Samedit
PART A - SOFTWARE LINUX,Software,Security-Onion,cURL,Data Transfer,7.35.0,8.6.0,YES,Multiple buffer overflow CVEs

PART A - SOFTWARE LINUX,Software,bt (DVL),OpenSSH,Secure Shell Server,4.4p1,9.6p1,CRITICAL,Extremely outdated - multiple CVEs
PART A - SOFTWARE LINUX,Software,bt (DVL),OpenSSL,SSL/TLS Library,0.9.8d,3.2.1,CRITICAL,All known SSL vulnerabilities
PART A - SOFTWARE LINUX,Software,bt (DVL),Bash,Shell,3.1.17,5.2.21,CRITICAL,CVE-2014-6271 Shellshock
