Hostname,Software,Installed Version,Current Version (2026),Vulnerable,CVE/Notes
Ubuntu,OpenSSH,5.9p1,9.6p1,YES,CVE-2016-0777 CVE-2016-0778 (roaming buffer overflow)
Ubuntu,OpenSSL,1.0.1,3.2.1,YES,CVE-2014-0160 (Heartbleed) CVE-2016-2107
Ubuntu,Bash,4.2.25,5.2.21,YES,CVE-2014-6271 (Shellshock)
Ubuntu,Python,Not installed,3.12.x,N/A,-
Ubuntu,Perl,5.14,5.38.x,YES,Multiple CVEs in older versions
Ubuntu,Apache,2.2.22,2.4.58,YES,CVE-2017-15715 CVE-2021-44790
Ubuntu,MySQL,Not installed,8.0.36,N/A,-
Ubuntu,PHP,5.3.10,8.3.x,YES,CVE-2019-11043 multiple RCE vulnerabilities
Ubuntu,sudo,Unknown,1.9.15p5,LIKELY,CVE-2021-3156 (Baron Samedit) if < 1.9.5p2
Ubuntu,cURL,7.22.0,8.6.0,YES,Multiple CVEs including CVE-2023-38545
Security-Onion,OpenSSH,6.6.1p1,9.6p1,YES,CVE-2016-0777 CVE-2016-0778
Security-Onion,OpenSSL,1.0.1f,3.2.1,YES,CVE-2014-0160 (Heartbleed)
Security-Onion,Bash,4.3.11,5.2.21,YES,CVE-2014-6271 (Shellshock) - patched in 4.3.25+
Security-Onion,Python,3.4.3,3.12.x,YES,EOL - multiple vulnerabilities
Security-Onion,Perl,5.18,5.38.x,YES,Older version - check specific CVEs
Security-Onion,Apache,2.4.7,2.4.58,YES,CVE-2021-44790 CVE-2021-41773
Security-Onion,MySQL,5.5.61,8.0.36,YES,CVE-2020-14812 multiple SQLi
Security-Onion,PHP,5.5.9,8.3.x,YES,EOL - CVE-2019-11043
Security-Onion,sudo,1.8.9,1.9.15p5,YES,CVE-2021-3156 (Baron Samedit)
Security-Onion,cURL,7.35.0,8.6.0,YES,Multiple buffer overflow CVEs
bt (DVL),OpenSSH,4.4p1,9.6p1,YES,Multiple critical CVEs - extremely outdated
bt (DVL),OpenSSL,0.9.8d,3.2.1,YES,CRITICAL - CVE-2014-0160 and many others
bt (DVL),Bash,3.1.17,5.2.21,YES,CVE-2014-6271 (Shellshock)
bt (DVL),Python,Not installed,3.12.x,N/A,-
bt (DVL),Perl,5.8,5.38.x,YES,EOL - multiple vulnerabilities
bt (DVL),Apache,Not installed,2.4.58,N/A,-
bt (DVL),MySQL,5.0.24,8.0.36,YES,CRITICAL - EOL multiple SQLi RCE
bt (DVL),PHP,4.4.4,8.3.x,YES,CRITICAL - PHP 4 EOL since 2008
bt (DVL),sudo,Unknown,1.9.15p5,LIKELY,Likely vulnerable to multiple CVEs
bt (DVL),cURL,7.15.5,8.6.0,YES,Multiple buffer overflow CVEs
